,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
89,Thu Dec 13 00:15:03 +0000 2018,1073008362151788544,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,104783349,AJ 🐼,"Fort Stone City, PHIL",2691,1013,152586,84574,False
90,Thu Dec 13 00:15:05 +0000 2018,1073008367839236098,Nike Zoom Kobe IV 4 POP Finals SZ 10.5 White Purple Gold Big Stage 354187-141 VI https://t.co/3oVTIlHoek #shoes… https://t.co/4k1vYQeqRk,4252670655,SwagDrops,,675,942,2373,30,False
91,Thu Dec 13 00:15:05 +0000 2018,1073008371685572614,RT @cncpts: Concepts x Nike SB Purple Lobster Dunk will be available Friday (12/14) in our Cambridge &amp; New York locations at 10AM &amp; https:/…,472683072,Ryan ?,,41,243,418,2010,False
92,Thu Dec 13 00:15:06 +0000 2018,1073008372612546561,Yup,781350257426894848,Cory,,1375,1335,34488,6516,False
93,Thu Dec 13 00:15:06 +0000 2018,1073008374021799936,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,216016837,Bryan Castillo,,191,95,18559,18412,False
94,Thu Dec 13 00:15:07 +0000 2018,1073008379486978049,RT @SNEAKERHAVE: Nike VaporMax Plus https://t.co/LccPUuLUKG,871155245342130177,"raffa moreira do es, fã de duda",+55ZEROVINTESETE,381,168,21674,9191,False
95,Thu Dec 13 00:15:08 +0000 2018,1073008382225891328,Calzado para hombre Nike Air Force 1 Low iD https://t.co/ePmfbi6tY1,908109367542558720,GabrielBarajas,,0,17,11,1,False
96,Thu Dec 13 00:15:10 +0000 2018,1073008389788184578,RT @measlyg84: https://t.co/tJ73Pl5hEV Proof Nike screwed me out a pair after giving me access then claims I must of made this up. Please r…,366421247,John D. Mclean Jr.,,67,150,808,1730,False
97,Thu Dec 13 00:15:10 +0000 2018,1073008390358622213,"RT @aleecarranzag2: Nike 6.0
Sigo viendo a gente con ellas
Más años que pelos
Las azules se llevaban un huevo
En el instituto unas 10.000(?…",2276571786,heartbreak queen 👑,,313,305,28116,29835,False
98,Thu Dec 13 00:15:10 +0000 2018,1073008392501911552,RT @brkicks: P.J. Tucker in the Nike Air Penny 2 against Portland tonight. https://t.co/zi6ACPT5Ux,1527431154,MostHated🥀™️,Under the radar,2862,2991,115659,84615,False
99,Thu Dec 13 00:15:12 +0000 2018,1073008399154073600,"#dormiresdecobardes Nike Earned Edition, se estrenarán en la segunda parte de la temporada, celebrando los equipos… https://t.co/MrIRN06OtX",835560454885937153,Oscar Maroño,"Arteixo, España",48,245,971,1994,False
100,Thu Dec 13 00:15:12 +0000 2018,1073008400999432194,RT @LaInca_: El problema con el macrismo y el feminismo es que la modificación de la situación actual se hace con más inversión estatal y m…,1639250228,Patry {★},"San Justo, Argentina",357,854,11900,14425,False
101,Thu Dec 13 00:15:13 +0000 2018,1073008401498730497,RT @ksjcherry: First jungkook and jimin performed to black or white and now hoseok is wearing an equality shoe by Nike fellas we stan the r…,858892502224470017,uwu life | moonchild,,260,321,12505,15107,False
102,Thu Dec 13 00:15:14 +0000 2018,1073008407718830080,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,623198653,OG,"Houston, TX ✈️ Tallulah, LA",594,671,11491,10161,False
103,Thu Dec 13 00:15:14 +0000 2018,1073008407521705984,"RT @UcheIsClown: Stocked!
These Nike Air Max are available in different shades, sizes 40-45 for only N23,500 😍😍🔥

Please retweet I need buy…",589030295,"I'M A BAD BITCH, YOU CAN'T KILL ME.","Lagos, Nigeria",2473,1596,48754,26745,False
104,Thu Dec 13 00:15:15 +0000 2018,1073008410147180544,"RT @NikePre1: NIKE プレゼント企画！

抽選でナイキのスニーカーをプレゼント🎁
新規フォロワーまたはリプで当選率アップ！
▶当選人数は2名

▶応募方法 →フォロー&amp;リツイート

▶期間 12月18日まで！

#NIKE #プレゼント #スニーカー #ナイキ…",760954187114885120,よ！,,67,198,257,91,False
105,Thu Dec 13 00:15:16 +0000 2018,1073008417487314944,"RT @sneakerplace_jp: 917593-100 ついにナイキエアモアアップテンポからアイスソールを採用した""クロム""が登場！
⇒https://t.co/emOlRBPNOL
#NIKE #UPTEMPO #スニーカー https://t.co/l2X9UYzJ…",150596210,keke ೨,,96,135,46927,26800,False
